Question,Type,ChatGPT,Gemini,Deepseek,Claude-plus,
Q1: Du Zhong & Wang You relationship,Simple Direct Relationship,Correct,Correct,Correct,Correct,
Q2: Ling Xiao & Wulin League secret,Secret/Hidden Relationship,Correct,Correct,Correct,Correct,
Q3: Du Zhong connected to Lady Safflower via others,Multi-hop Reasoning,Correct,Correct,Correct,Correct,
Q4: Who is Master really,False Identity,Correct,Correct,Correct,Correct,
Q5: True relationship Du Zhong & Xuan Can,Contradicting Perspectives,Correct,Correct,Partial,Correct,
Q6: Du Zhong vs Ling Xiao perspectives,Perspective Comparison,Correct,Correct,Correct,Correct,
Q7: Who was with Ling Xiao that night,Alibi / Unknown,Correct,Partial,Correct,Correct,
Q8: Who attempted harm and who was target,Adversarial Relationship,Partial,Partial,Correct,Correct,
Q9: Hidden family relationship,Hidden Family,Correct,Correct,Correct,Correct,
Q10: All Du Zhong relationships,Full Relationship Map,Correct,Correct,Correct,Correct,
Total Score,/10,9,8,9,10,
Accuracy (%),,90%,80%,90%,100%,
