variation_id,premise_1,premise_2,conclusion,model_prediction,correct_label,is_correct
BB_01,Some birds are doctors,All birds are machines,Some doctors are machines,entailment,entailment,1
BB_02,Some teachers are robots,All teachers are planets,Some robots are planets,entailment,entailment,1
BB_03,Some nurses are cats,All nurses are clouds,Some cats are clouds,entailment,entailment,1
BB_04,Some lawyers are ghosts,All lawyers are flowers,Some ghosts are flowers,entailment,entailment,1
BB_05,Some pencils are humans,All pencils are fish,Some humans are fish,entailment,entailment,1
BB_06,Some babies are scientists,All babies are tables,Some scientists are tables,entailment,entailment,1
BB_07,Some artists are lions,All artists are spoons,Some lions are spoons,entailment,entailment,1
BB_08,Some students are computers,All students are rivers,Some computers are rivers,entailment,entailment,1
BB_09,Some singers are chairs,All singers are books,Some chairs are books,entailment,entailment,1
BB_10,Some doctors are stars,All doctors are bicycles,Some stars are bicycles,entailment,entailment,1
